10 10 30 10 50 10 70 10 90 10 110 10 130 10 150 10 170 10 190 10 210 10 230 10 250 10 270 10 290 10 310 10 330 10 350 10 370 10 390 10 410 10 430 10 450 10 470 10 490 10 510 10 530 10 550 10 570 10 590 10 
10 30 30 30 50 30 70 30 90 30 110 30 130 30 150 30 170 30 190 30 210 30 230 30 250 30 270 30 290 30 310 30 330 30 350 30 370 30 390 30 410 30 430 30 450 30 470 30 490 30 510 30 530 30 550 30 570 30 590 30 
10 50 30 50 50 50 70 50 90 50 110 50 130 50 150 50 170 50 190 50 210 50 230 50 250 50 270 50 290 50 310 50 330 50 350 50 370 50 390 50 410 50 430 50 450 50 470 50 490 50 510 50 530 50 550 50 570 50 590 50 
10 70 30 70 50 70 70 70 90 70 110 70 130 70 150 70 170 70 190 70 210 70 230 70 250 70 270 70 290 70 310 70 330 70 350 70 370 70 390 70 410 70 430 70 450 70 470 70 490 70 510 70 530 70 550 70 570 70 590 70 
10 90 30 90 50 90 70 90 90 90 110 90 130 90 150 90 170 90 190 90 210 90 230 90 250 90 270 90 290 90 310 90 330 90 350 90 370 90 390 90 410 90 430 90 450 90 470 90 490 90 510 90 530 90 550 90 570 90 590 90 
10 110 30 110 50 110 70 110 90 110 110 110 130 110 150 110 170 110 190 110 210 110 230 110 250 110 270 110 290 110 310 110 330 110 350 110 370 110 390 110 410 110 430 110 450 110 470 110 490 110 510 110 530 110 550 110 570 110 590 110 
10 130 30 130 50 130 70 130 90 130 110 130 130 130 150 130 170 130 190 130 210 130 230 130 250 130 270 130 290 130 310 130 330 130 350 130 370 130 390 130 410 130 430 130 450 130 470 130 490 130 510 130 530 130 550 130 570 130 590 130 
10 150 30 150 50 150 70 150 90 150 110 150 130 150 150 150 170 150 190 150 210 150 230 150 250 150 270 150 290 150 310 150 330 150 350 150 370 150 390 150 410 150 430 150 450 150 470 150 490 150 510 150 530 150 550 150 570 150 590 150 
10 170 30 170 50 170 70 170 90 170 110 170 130 170 150 170 170 170 190 170 210 170 230 170 250 170 270 170 290 170 310 170 330 170 350 170 370 170 390 170 410 170 430 170 450 170 470 170 490 170 510 170 530 170 550 170 570 170 590 170 
10 190 30 190 50 190 70 190 90 190 110 190 130 190 150 190 170 190 190 190 210 190 230 190 250 190 270 190 290 190 310 190 330 190 350 190 370 190 390 190 410 190 430 190 450 190 470 190 490 190 510 190 530 190 550 190 570 190 590 190 
10 210 30 210 50 210 70 210 90 210 110 210 130 210 150 210 170 210 190 210 210 210 230 210 250 210 270 210 290 210 310 210 330 210 350 210 370 210 390 210 410 210 430 210 450 210 470 210 490 210 510 210 530 210 550 210 570 210 590 210 
10 230 30 230 50 230 70 230 90 230 110 230 130 230 150 230 170 230 190 230 210 230 230 230 250 230 270 230 290 230 310 230 330 230 350 230 370 230 390 230 410 230 430 230 450 230 470 230 490 230 510 230 530 230 550 230 570 230 590 230 
